688633.SH,星球石墨
688636.SH,智明达
688638.SH,誉辰智能
688639.SH,华恒生物
688646.SH,ST逸飞
688648.SH,中邮科技
688651.SH,盛邦安全
688652.SH,京仪装备
688653.SH,康希通信
688655.SH,迅捷兴
688656.SH,XD浩欧博
688657.SH,浩辰软件
688658.SH,悦康药业
688659.SH,元琛科技
688660.SH,电气风电
688661.SH,和林微纳
688662.SH,富信科技
688663.SH,新风光
688665.SH,四方光电
688667.SH,菱电电控
688668.SH,鼎通科技
688669.SH,聚石化学
688670.SH,金迪克
688671.SH,碧兴物联
688676.SH,金盘科技
688677.SH,海泰新光
688678.SH,福立旺
688679.SH,XD通源环
688680.SH,海优新材
688681.SH,科汇股份
688682.SH,霍莱沃
688683.SH,莱尔科技
688685.SH,迈信林
688686.SH,奥普特
688687.SH,凯因科技
688689.SH,银河微电
688690.SH,纳微科技
688691.SH,灿芯股份
688692.SH,达梦数据
688693.SH,锴威特
688695.SH,中创股份
688696.SH,极米科技
688697.SH,纽威数控
688698.SH,伟创电气
688699.SH,明微电子
688700.SH,东威科技
688701.SH,卓锦股份
688702.SH,盛科通信-U
688707.SH,振华新材
688708.SH,佳驰科技
688709.SH,成都华微
688710.SH,益诺思
688711.SH,宏微科技
688716.SH,中研股份
688717.SH,艾罗能源
688718.SH,唯赛勃
688719.SH,爱科赛博
688720.SH,艾森股份
688721.SH,龙图光罩
688722.SH,同益中
688726.SH,拉普拉斯
688728.SH,格科微
688733.SH,壹石通
688737.SH,中自科技
688739.SH,成大生物
688750.SH,金天钛业
688755.SH,汉邦科技
688757.SH,胜科纳米
688758.SH,赛分科技
688766.SH,普冉股份
688767.SH,博拓生物
688768.SH,容知日新
688772.SH,珠海冠宇
688776.SH,国光电气
688777.SH,中控技术
688778.SH,厦钨新能
688779.SH,五矿新能
688786.SH,悦安新材
688787.SH,海天瑞声
688788.SH,科思科技
688789.SH,宏华数科
688793.SH,倍轻松
688798.SH,艾为电子
688799.SH,DR华纳药
688800.SH,瑞可达
688819.SH,天能股份
688981.SH,中芯国际
